wav_filename,wav_filesize,transcript
/opt/shared_data/cpm_wav_cut/2014012212081222_0016.wav,178604,tolik přidat se pana prezidenta
/opt/shared_data/cpm_wav_cut/2014043015481602_0048.wav,80684,česká
/opt/shared_data/cpm_wav_cut/2014021812481302_0018.wav,341708,ale dostávají stále horší veřejné služby
/opt/shared_data/cpm_wav_cut/2014043011481202_0045.wav,1991084,no dosáhnou důchodového věku ti kteří dneska jsou dlouhodobě v nezaměstnanosti a zjistí že nemají nárok na důchod až přijdou do důchodu ti kteří si myslí že vyzráli nad státem švarcsystému a odvádějí si minimum na důchodové pojištění a zjistí že jejich důchod bude lízat někde hranici životního minima
/opt/shared_data/cpm_wav_cut/2014051415381552_0083.wav,1273004,já myslím že čeští zemědělci mají pravdu když dlouhodobě říkat že odstupu roku dva tisíce čtyři nemají stejné podmínky jako jejich kolegové a také olejích konkurenti je třeba říct ve starých členských zemí
/opt/shared_data/cpm_wav_cut/2014021819582012_0023.wav,6437804,mrzí mě že ve vládním prohlášení není žádná zmínka o ejustici o elektronizaci české justice by to pro který jsme nastartovali ještě u topolánkovy vlády a některé konkrétní projekty se podle mého názoru povedly jako je třeba elektronický platební rozkaz bylo by dobré děvy lada pokračovala v těchto věcech protože pokud se nebude ale komická justice dále rozvíjet pak rychle zastará to co bylo již zavedeno a budou to vyhozené peníze neměli bychom rezignovat na tak zvaný elektronický soudní spis to je a které bylo skloňováno a debatováno experty v minulém volebním období je škoda že o tom vláda vůbec nehovoří využít evropské peníze k vyšší efektivitě veřejné moci této zemi pan premiér hovořil o efektivním a kvalitním státu tak se podívejme třeba na projekt a justice to je pro který by obecně zvýšil efektivitu justice a také přinesl občanovi výhody pohodlnější komunikaci se soudní mocí tak žádné nabízí vládě aby zvážila variantu pokračování v projektu aby rolnického soudního spisu myslím si že by to bylo velmi důležité bylo své
/opt/shared_data/cpm_wav_cut/2013120615081522_0002.wav,2958764,a prostě je tady ta zodpovědnost minulých dvou vlád za to že naše země ztratila bohužel svůj poté vinou soběstačnost a že kupujeme dneska potraviny které se dováží za tradiční a nedělají to naši lidí a my jsme to lednových program o tu věc chceme změnit a nechceme na to víc peněz nechceme na to víc peněz a jenom pro informaci přátelé letos v roce dva třináct jsou to pak pít tak zvané národní doplňkové platby na úrovni zhruba devadesáti milionů korun takže to jenom na dovysvětlenou děkuju
/opt/shared_data/cpm_wav_cut/2014021317181732_0007.wav,639404,bude zahájeno opakované stavební řízení o povolení předmět stavby dálnice a tři tábor ve snad dění
/opt/shared_data/cpm_wav_cut/2014032112481302_0006.wav,2238764,pane předsedo já jsem optimista věřte že dostanete děkuji pane předsedající ty návrhy jsme si přečetli byly nám poměrně jasné nicméně to je v podrobné rozpravě tady byla načtena řada dalších návrhů a i ty které jsme dostali písemně byly načteny jinak než ve znění s po změnami které tam zaznamenány nebyly
/opt/shared_data/cpm_wav_cut/2014021815181532_0017.wav,695084,obrovský prostor ano takže pokud někdo tvrdí že jsme levicová vláda tak nejsme
/opt/shared_data/cpm_wav_cut/2014051319582012_0026.wav,61484,a
/opt/shared_data/cpm_wav_cut/2014021215381552_0047.wav,1165484,je pane předsedající kolegyně a kolegové nebudu zdržovali my navíc ode jednou stále hraje na obhájce těch kteří tady platí drahé ceny energií
/opt/shared_data/cpm_wav_cut/2014061815181532_0008.wav,506924,bude velmi obtížně řešitelný neboli mé stanovisko
/opt/shared_data/cpm_wav_cut/2014051516381652_0035.wav,1274540,ministerstvo dopravy tento překlad nám méně uvedená drobná chyba sama o sobě nepředstavovala natolik závažný problém abych půl němu samotném dani hláška novelizována odbor a en
/opt/shared_data/cpm_wav_cut/2013121211281142_0021.wav,197804,kdo je proti tomuto návrhu
/opt/shared_data/cpm_wav_cut/2014032515581612_0089.wav,1201964,při základních parametrech počtu občanů poslanců nebo senátorů může dojít i k ovlivnění fungování státu přičemž takto pojatém referendu může dojít k zásahu do ústavních zákonů
/opt/shared_data/cpm_wav_cut/2014020515081522_0023.wav,981164,důvodem pro kole přijetí je dále i chybějící úprava recyklačních cílů které jsou v platném zákoně o obale stanovení pouze do roku dva tisíce dvanáct z těchto důvodů
/opt/shared_data/cpm_wav_cut/2014042914381452_0033.wav,433964,ptám se kdo další se hlásí do podrobné rozpravy
/opt/shared_data/cpm_wav_cut/2014051512281242_0014.wav,439724,ano pan místopředseda bartošek na slovo
/opt/shared_data/cpm_wav_cut/2014032110481102_0002.wav,2388524,na svém teda a nic víc známého zapomněl a ještě bych k tomu dodal že v souvislosti s tím bych vás chtěl informovat že v pondělí se sejde bezpečnostní rada státu tady v české republice a pokud by známo ministři by měli podat určitou informaci inventuru toho co ta současná situace znamená pro práci jednotlivých resortů
/opt/shared_data/cpm_wav_cut/2014032517381752_0031.wav,1392044,jsou vydávány za podporu českým zemědělcům a zkuste se jich zeptat jakéhokoli zemědělce kdyby dostal na něco jiného než na plakáty se značkou klasa jestli by náhodou nebyl
